Tabulated Kremer-Grest potential
Columns are R, F(r)/r and U(r)
Header reads: N_pts, r_min and r_max (r_max is also r_cutoff)
# 10000 0.500000 1.499900
0.500000 -779237.136177 16132.975177
0.500100 -778066.308632 16094.013321
0.500200 -775883.982635 16055.152985
0.500300 -773708.202923 16016.393887
0.500400 -771538.948571 15977.735742
0.500500 -769376.198726 15939.178269
0.500600 -767219.932602 15900.721185
0.500700 -765070.129487 15862.364209
0.500800 -762926.768739 15824.107062
0.500900 -760789.829785 15785.949464
0.501000 -758659.292122 15747.891137
0.501100 -756535.135316 15709.931803
0.501200 -754417.339003 15672.071186
0.501300 -752305.882888 15634.309009
0.501400 -750200.746745 15596.644998
0.501500 -748101.910416 15559.078878
0.501600 -746009.353811 15521.610376
0.501700 -743923.056909 15484.239220
0.501800 -741842.999755 15446.965137
0.501900 -739769.162464 15409.787856
0.502000 -737701.525216 15372.707108
0.502100 -735640.068260 15335.722623
0.502200 -733584.771910 15298.834133
0.502300 -731535.616549 15262.041369
0.502400 -729492.582623 15225.344065
0.502500 -727455.650646 15188.741954
0.502600 -725424.801200 15152.234772
0.502700 -723400.014928 15115.822253
0.502800 -721381.272542 15079.504134
0.502900 -719368.554817 15043.280152
0.503000 -717361.842595 15007.150045
0.503100 -715361.116781 14971.113551
0.503200 -713366.358346 14935.170409
0.503300 -711377.548322 14899.320361
0.503400 -709394.667810 14863.563145
0.503500 -707417.697970 14827.898505
0.503600 -705446.620029 14792.326183
0.503700 -703481.415275 14756.845922
0.503800 -701522.065061 14721.457465
0.503900 -699568.550801 14686.160559
0.504000 -697620.853973 14650.954947
0.504100 -695678.956116 14615.840377
0.504200 -693742.838834 14580.816595
0.504300 -691812.483790 14545.883349
0.504400 -689887.872710 14511.040387
0.504500 -687968.987381 14476.287460
0.504600 -686055.809652 14441.624317
0.504700 -684148.321434 14407.050708
0.504800 -682246.504696 14372.566385
0.504900 -680350.341471 14338.171101
0.505000 -678459.813850 14303.864608
0.505100 -676574.903985 14269.646659
0.505200 -674695.594088 14235.517011
0.505300 -672821.866432 14201.475417
0.505400 -670953.703347 14167.521633
0.505500 -669091.087225 14133.655416
0.505600 -667234.000515 14099.876524
0.505700 -665382.425727 14066.184714
0.505800 -663536.345428 14032.579745
0.505900 -661695.742245 13999.061377
0.506000 -659860.598863 13965.629370
0.506100 -658030.898023 13932.283485
0.506200 -656206.622527 13899.023483
0.506300 -654387.755234 13865.849126
0.506400 -652574.279058 13832.760179
0.506500 -650766.176973 13799.756403
0.506600 -648963.432010 13766.837565
0.506700 -647166.027256 13734.003428
0.506800 -645373.945855 13701.253760
0.506900 -643587.171006 13668.588325
0.507000 -641805.685967 13636.006892
0.507100 -640029.474050 13603.509229
0.507200 -638258.518625 13571.095103
0.507300 -636492.803115 13538.764285
0.507400 -634732.311000 13506.516543
0.507500 -632977.025816 13474.351650
0.507600 -631226.931153 13442.269375
0.507700 -629482.010655 13410.269492
0.507800 -627742.248023 13378.351772
0.507900 -626007.627012 13346.515989
0.508000 -624278.131430 13314.761917
0.508100 -622553.745140 13283.089331
0.508200 -620834.452058 13251.498005
0.508300 -619120.236156 13219.987717
0.508400 -617411.081458 13188.558242
0.508500 -615706.972040 13157.209358
0.508600 -614007.892035 13125.940843
0.508700 -612313.825625 13094.752476
0.508800 -610624.757047 13063.644035
0.508900 -608940.670590 13032.615300
0.509000 -607261.550597 13001.666053
0.509100 -605587.381460 12970.796074
0.509200 -603918.147625 12940.005146
0.509300 -602253.833592 12909.293050
0.509400 -600594.423908 12878.659570
0.509500 -598939.903175 12848.104490
0.509600 -597290.256046 12817.627594
0.509700 -595645.467224 12787.228667
0.509800 -594005.521463 12756.907495
0.509900 -592370.403569 12726.663864
0.510000 -590740.098398 12696.497562
0.510100 -589114.590856 12666.408374
0.510200 -587493.865900 12636.396091
0.510300 -585877.908536 12606.460500
0.510400 -584266.703822 12576.601392
0.510500 -582660.236862 12546.818555
0.510600 -581058.492814 12517.111782
0.510700 -579461.456883 12487.480862
0.510800 -577869.114323 12457.925588
